Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
January 2022 Second Open Bidding Exercise,19/01/2022,2022,Cat A (Cars up to 1600cc and 97kW),531,57898,711,526
January 2022 First Open Bidding Exercise,5/1/2022,2022,Cat A (Cars up to 1600cc and 97kW),543,57599,760,533
December 2021 Second Open Bidding Exercise,22/12/2021,2021,Cat A (Cars up to 1600cc and 97kW),534,58801,740,534
December 2021 First Open Bidding Exercise,8/12/2021,2021,Cat A (Cars up to 1600cc and 97kW),536,57010,771,525
November 2021 Second Open Bidding Exercise,17/11/2021,2021,Cat A (Cars up to 1600cc and 97kW),537,55001,706,535
November 2021 First Open Bidding Exercise,3/11/2021,2021,Cat A (Cars up to 1600cc and 97kW),536,53709,834,531
October 2021 Second Open Bidding Exercise,20/10/2021,2021,Cat A (Cars up to 1600cc and 97kW),811,52709,1304,806
October 2021 First Open Bidding Exercise,6/10/2021,2021,Cat A (Cars up to 1600cc and 97kW),816,47001,1077,812
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat A (Cars up to 1600cc and 97kW),803,48000,1040,795
September 2021 First Open Bidding Exercise,8/9/2021,2021,Cat A (Cars up to 1600cc and 97kW),804,47000,1124,790
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat A (Cars up to 1600cc and 97kW),806,46689,1127,806
August 2021 First Open Bidding Exercise,4/8/2021,2021,Cat A (Cars up to 1600cc and 97kW),805,45189,1021,804
July 2021 Second Open Bidding Exercise,22/07/2021,2021,Cat A (Cars up to 1600cc and 97kW),836,47010,1240,832
July 2021 First Open Bidding Exercise,7/7/2021,2021,Cat A (Cars up to 1600cc and 97kW),867,45001,1149,864
June 2021 Second Open Bidding Exercise,23/06/2021,2021,Cat A (Cars up to 1600cc and 97kW),830,47821,1178,823
June 2021 First Open Bidding Exercise,9/6/2021,2021,Cat A (Cars up to 1600cc and 97kW),858,48510,1439,820
May 2021 Second Open Bidding Exercise,19/05/2021,2021,Cat A (Cars up to 1600cc and 97kW),835,41801,1209,834
May 2021 First Open Bidding Exercise,5/5/2021,2021,Cat A (Cars up to 1600cc and 97kW),832,48002,1100,803
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat A (Cars up to 1600cc and 97kW),890,49640,1290,883
April 2021 First Open Bidding Exercise,7/4/2021,2021,Cat A (Cars up to 1600cc and 97kW),883,45600,1212,880
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat A (Cars up to 1600cc and 97kW),886,44589,1186,879
March 2021 First Open Bidding Exercise,3/3/2021,2021,Cat A (Cars up to 1600cc and 97kW),887,41996,1175,887
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat A (Cars up to 1600cc and 97kW),903,41001,1226,900
February 2021 First Open Bidding Exercise,3/2/2021,2021,Cat A (Cars up to 1600cc and 97kW),885,42000,1098,881
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962
January 2021 First Open Bidding Exercise,6/1/2021,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat A (Cars up to 1600cc and 97kW),969,40556,1403,966
December 2020 First Open Bidding Exercise,9/12/2020,2020,Cat A (Cars up to 1600cc and 97kW),978,40714,1620,978
November 2020 Second Open Bidding Exercise,18/11/2020,2020,Cat A (Cars up to 1600cc and 97kW),972,37690,1361,966
November 2020 First Open Bidding Exercise,4/11/2020,2020,Cat A (Cars up to 1600cc and 97kW),967,35990,1262,952
October 2020 Second Open Bidding Exercise,21/10/2020,2020,Cat A (Cars up to 1600cc and 97kW),916,37334,1323,907
October 2020 First Open Bidding Exercise,7/10/2020,2020,Cat A (Cars up to 1600cc and 97kW),912,36534,1272,907
September 2020 Second Open Bidding Exercise,23/09/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034",38504,1540,"1,031"
September 2020 First Open Bidding Exercise,9/9/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,035",37766,1737,"1,035"
August 2020 Second Open Bidding Exercise,19/08/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034",35710,2099,"1,019"
August 2020 First Open Bidding Exercise,5/8/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,022",33000,2047,"1,007"
July 2020 Second Open Bidding Exercise,22/07/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,304",32699,2485,"1,290"
July 2020 First Open Bidding Exercise,8/7/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,289",33520,3061,"1,286"
March 2020 Second Open Bidding Exercise,18/03/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,31210,1421,962
March 2020 First Open Bidding Exercise,4/3/2020,2020,Cat A (Cars up to 1600cc and 97kW),978,32699,1436,973
February 2020 Second Open Bidding Exercise,19/02/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,32999,1564,973
February 2020 First Open Bidding Exercise,5/2/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,30010,1204,977
January 2020 Second Open Bidding Exercise,22/01/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034",35010,1390,"1,025"
January 2020 First Open Bidding Exercise,8/1/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,035",35320,1450,"1,026"
December 2019 Second Open Bidding Exercise,18/12/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,029",32889,1256,"1,013"
December 2019 First Open Bidding Exercise,4/12/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,030",33009,1386,"1,013"
November 2019 Second Open Bidding Exercise,20/11/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,023",32000,1468,"1,012"
November 2019 First Open Bidding Exercise,6/11/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,043",30000,1302,"1,031"
October 2019 Second Open Bidding Exercise,23/10/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,060",32309,1467,"1,056"
October 2019 First Open Bidding Exercise,9/10/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,057",34001,1659,"1,033"
September 2019 Second Open Bidding Exercise,18/09/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,056",31759,1453,"1,053"
September 2019 First Open Bidding Exercise,4/9/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,056",31783,1656,"1,056"
August 2019 Second Open Bidding Exercise,21/08/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,062",31917,1725,"1,062"
August 2019 First Open Bidding Exercise,7/8/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,059",32725,2023,"1,059"
July 2019 Second Open Bidding Exercise,17/07/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,623",26667,1902,"1,617"
July 2019 First Open Bidding Exercise,3/7/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,431",28589,1795,"1,428"
June 2019 Second Open Bidding Exercise,19/06/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,424",26999,1742,"1,225"
June 2019 First Open Bidding Exercise,6/6/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,424",30009,1902,"1,417"
May 2019 Second Open Bidding Exercise,23/05/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,475",27000,1799,"1,475"
May 2019 First Open Bidding Exercise,8/5/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,431",36704,1988,"1,431"
April 2019 Second Open Bidding Exercise,17/04/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,653",33199,2249,"1,603"
April 2019 First Open Bidding Exercise,3/4/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,656",29159,2338,"1,650"
March 2019 Second Open Bidding Exercise,20/03/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,650",26659,2204,"1,647"
March 2019 First Open Bidding Exercise,6/3/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,659",26309,2213,"1,653"
February 2019 Second Open Bidding Exercise,20/02/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,650",26301,2261,"1,650"
February 2019 First Open Bidding Exercise,8/2/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,662",25689,2371,"1,653"
January 2019 Second Open Bidding Exercise,23/01/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,818",26170,2864,"1,818"
January 2019 First Open Bidding Exercise,9/1/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,815",25920,2707,"1,804"
December 2018 Second Open Bidding Exercise,19/12/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,890",25501,2729,"1,887"
December 2018 First Open Bidding Exercise,5/12/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,878",23568,2177,"1,878"
November 2018 Second Open Bidding Exercise,21/11/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,818",25000,2231,"1,744"
November 2018 First Open Bidding Exercise,8/11/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,819",28199,2849,"1,757"
October 2018 Second Open Bidding Exercise,17/10/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,674",25556,1811,"1,672"
October 2018 First Open Bidding Exercise,3/10/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,668",28457,2059,"1,665"
September 2018 Second Open Bidding Exercise,19/09/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,664",28000,2059,"1,655"
September 2018 First Open Bidding Exercise,5/9/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,664",30209,2488,"1,661"
August 2018 Second Open Bidding Exercise,23/08/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,695",31997,2948,"1,695"
August 2018 First Open Bidding Exercise,8/8/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,672",33798,3633,"1,672"
July 2018 Second Open Bidding Exercise,18/07/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,443",32699,3100,"1,412"
July 2018 First Open Bidding Exercise,4/7/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,435",25000,1626,"1,427"
June 2018 Second Open Bidding Exercise,20/06/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,446",34110,1818,"1,437"
June 2018 First Open Bidding Exercise,6/6/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,441",36426,1696,"1,440"
May 2018 Second Open Bidding Exercise,23/05/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,434",38001,1805,"1,422"
May 2018 First Open Bidding Exercise,9/5/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,435",38941,1836,"1,428"
April 2018 Second Open Bidding Exercise,18/04/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,566",38510,2027,"1,566"
April 2018 First Open Bidding Exercise,4/4/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,566",37000,1888,"1,564"
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,559",38000,2117,"1,551"
March 2018 First Open Bidding Exercise,7/3/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,580",38830,2405,"1,572"
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,562",36810,2073,"1,561"
February 2018 First Open Bidding Exercise,7/2/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,557",40000,2389,"1,534"
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,713",36890,1938,"1,708"
January 2018 First Open Bidding Exercise,4/1/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,693",41400,2264,"1,693"
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,687",38200,1970,"1,654"
December 2017 First Open Bidding Exercise,6/12/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,680",42339,2158,"1,667"
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,686",46791,2721,"1,679"
November 2017 First Open Bidding Exercise,8/11/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,683",47112,3430,"1,683"
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,815",41617,2391,"1,809"
October 2017 First Open Bidding Exercise,4/10/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,829",41761,2808,"1,827"
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,815",42902,3469,"1,815"
September 2017 First Open Bidding Exercise,6/9/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,820",36001,2195,"1,806"
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,817",42900,2148,"1,817"
August 2017 First Open Bidding Exercise,10/8/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,817",46778,2403,"1,812"
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,907",44002,2389,"1,905"
July 2017 First Open Bidding Exercise,5/7/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,904",42801,2296,"1,902"
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,906",42801,2302,"1,898"
June 2017 First Open Bidding Exercise,7/6/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,898",45201,2245,"1,893"
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,920",46489,2601,"1,913"
May 2017 First Open Bidding Exercise,11/5/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,905",51106,2240,"1,905"
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,052",51600,2442,"2,030"
April 2017 First Open Bidding Exercise,12/4/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,068",52000,2486,"2,061"
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,096",51765,2961,"2,096"
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,061",50789,3190,"2,045"
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,133",49430,2926,"2,089"
February 2017 First Open Bidding Exercise,8/2/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,060",48401,2691,"2,051"
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,846",50889,2437,"1,766"
January 2017 First Open Bidding Exercise,5/1/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,877",50101,2260,"1,870"
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,844",49751,2554,"1,843"
December 2016 First Open Bidding Exercise,7/12/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,844",48000,2335,"1,812"
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,846",50951,2536,"1,846"
November 2016 First Open Bidding Exercise,9/11/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,929",52668,2800,"1,929"
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,023",50991,2584,"2,021"
October 2016 First Open Bidding Exercise,5/10/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,064",51507,2938,"1,979"
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,008",50000,2610,"1,993"
September 2016 First Open Bidding Exercise,7/9/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,067",51506,2739,"2,011"
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,034",53334,2803,"2,034"
August 2016 First Open Bidding Exercise,3/8/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,018",52503,2712,"1,959"
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,272",53000,3195,"2,246"
July 2016 First Open Bidding Exercise,7/7/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,222",52301,3194,"2,212"
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,252",55200,3957,"2,197"
June 2016 First Open Bidding Exercise,8/6/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,218",53694,4545,"2,213"
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,217",47020,3227,"2,182"
May 2016 First Open Bidding Exercise,5/5/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,218",47889,3446,"2,217"
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,062",47300,3327,"2,061"
April 2016 First Open Bidding Exercise,6/4/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,105",46009,3719,"2,103"
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,053",45504,3836,"2,020"
March 2016 First Open Bidding Exercise,9/3/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,033",45000,3518,"1,957"
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,049",43000,2965,"2,025"
February 2016 First Open Bidding Exercise,3/2/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,038",46651,2972,"2,033"
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,659",51301,3437,"1,638"
January 2016 First Open Bidding Exercise,6/1/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,659",45002,2013,"1,649"
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,669",54301,1978,"1,667"
December 2015 First Open Bidding Exercise,9/12/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,698",56989,2132,"1,696"
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,662",59200,2140,"1,650"
November 2015 First Open Bidding Exercise,4/11/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,664",56001,2009,"1,623"
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,690",57301,2229,"1,684"
October 2015 First Open Bidding Exercise,7/10/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,687",56001,2210,"1,679"
September 2015 Second Open Bidding Exercise,23/09/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,687",55399,2276,"1,684"
September 2015 First Open Bidding Exercise,9/9/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,688",57089,2553,"1,688"
August 2015 Second Open Bidding Exercise,19/08/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,756",57498,2597,"1,756"
August 2015 First Open Bidding Exercise,5/8/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,688",56209,2446,"1,687"
July 2015 Second Open Bidding Exercise,22/07/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,435",55889,1966,"1,365"
July 2015 First Open Bidding Exercise,8/7/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,466",58700,1891,"1,464"
June 2015 Second Open Bidding Exercise,17/06/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,429",61000,1766,"1,421"
June 2015 First Open Bidding Exercise,4/6/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,432",66000,1943,"1,393"
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,434",66590,2351,"1,431"
May 2015 First Open Bidding Exercise,6/5/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,444",68589,2891,"1,438"
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,67601,2055,979
April 2015 First Open Bidding Exercise,8/4/2015,2015,Cat A (Cars up to 1600cc and 97kW),988,67749,2340,970
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,64700,2251,987
March 2015 First Open Bidding Exercise,4/3/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,61410,2120,986
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat A (Cars up to 1600cc and 97kW),988,57199,1294,988
February 2015 First Open Bidding Exercise,4/2/2015,2015,Cat A (Cars up to 1600cc and 97kW),992,62002,1295,991
January 2015 Second Open Bidding Exercise,21/01/2015,2015,Cat A (Cars up to 1600cc and 97kW),705,65001,1068,703
January 2015 First Open Bidding Exercise,7/1/2015,2015,Cat A (Cars up to 1600cc and 97kW),704,66010,940,698
December 2014 Second Open Bidding Exercise,17/12/2014,2014,Cat A (Cars up to 1600cc and 97kW),705,65889,868,699
December 2014 First Open Bidding Exercise,3/12/2014,2014,Cat A (Cars up to 1600cc and 97kW),709,67089,996,703
November 2014 Second Open Bidding Exercise,19/11/2014,2014,Cat A (Cars up to 1600cc and 97kW),701,67889,1144,694
November 2014 First Open Bidding Exercise,5/11/2014,2014,Cat A (Cars up to 1600cc and 97kW),703,64900,1196,692
October 2014 Second Open Bidding Exercise,23/10/2014,2014,Cat A (Cars up to 1600cc and 97kW),572,63990,1092,569
October 2014 First Open Bidding Exercise,9/10/2014,2014,Cat A (Cars up to 1600cc and 97kW),575,63880,1097,570
September 2014 Second Open Bidding Exercise,17/09/2014,2014,Cat A (Cars up to 1600cc and 97kW),573,62000,792,573
September 2014 First Open Bidding Exercise,3/9/2014,2014,Cat A (Cars up to 1600cc and 97kW),572,64841,813,568
August 2014 Second Open Bidding Exercise,20/08/2014,2014,Cat A (Cars up to 1600cc and 97kW),575,65710,994,574
August 2014 First Open Bidding Exercise,6/8/2014,2014,Cat A (Cars up to 1600cc and 97kW),574,64600,1086,574
July 2014 Second Open Bidding Exercise,23/07/2014,2014,Cat A (Cars up to 1600cc and 97kW),509,62890,1190,505
July 2014 First Open Bidding Exercise,9/7/2014,2014,Cat A (Cars up to 1600cc and 97kW),513,61990,1075,511
June 2014 Second Open Bidding Exercise,18/06/2014,2014,Cat A (Cars up to 1600cc and 97kW),509,61899,1040,506
June 2014 First Open Bidding Exercise,4/6/2014,2014,Cat A (Cars up to 1600cc and 97kW),507,63190,1040,499
May 2014 Second Open Bidding Exercise,21/05/2014,2014,Cat A (Cars up to 1600cc and 97kW),509,65689,997,506
May 2014 First Open Bidding Exercise,7/5/2014,2014,Cat A (Cars up to 1600cc and 97kW),513,60002,676,512
April 2014 Second Open Bidding Exercise,23/04/2014,2014,Cat A (Cars up to 1600cc and 97kW),361,71335,513,357
April 2014 First Open Bidding Exercise,9/4/2014,2014,Cat A (Cars up to 1600cc and 97kW),367,77400,537,360
March 2014 Second Open Bidding Exercise,19/03/2014,2014,Cat A (Cars up to 1600cc and 97kW),362,78602,577,360
March 2014 First Open Bidding Exercise,5/3/2014,2014,Cat A (Cars up to 1600cc and 97kW),365,76999,615,356
February 2014 Second Open Bidding Exercise,19/02/2014,2014,Cat A (Cars up to 1600cc and 97kW),362,77201,700,358
February 2014 First Open Bidding Exercise,5/2/2014,2014,Cat A (Cars up to 1600cc and 97kW),362,71564,719,356
January 2014 Second Open Bidding Exercise,22/01/2014,2014,Cat A (Cars up to 1600cc and 97kW),368,72290,724,364
January 2014 First Open Bidding Exercise,8/1/2014,2014,Cat A (Cars up to 1600cc and 97kW),364,72369,623,361
December 2013 Second Open Bidding Exercise,18/12/2013,2013,Cat A (Cars up to 1600cc and 97kW),367,74002,574,363
December 2013 First Open Bidding Exercise,4/12/2013,2013,Cat A (Cars up to 1600cc and 97kW),364,73160,591,364
November 2013 Second Open Bidding Exercise,20/11/2013,2013,Cat A (Cars up to 1600cc and 97kW),364,74991,650,361
November 2013 First Open Bidding Exercise,6/11/2013,2013,Cat A (Cars up to 1600cc and 97kW),368,72609,590,368
October 2013 Second Open Bidding Exercise,23/10/2013,2013,Cat A (Cars up to 1600cc and 97kW),373,76889,596,373
October 2013 First Open Bidding Exercise,9/10/2013,2013,Cat A (Cars up to 1600cc and 97kW),365,85000,615,361
September 2013 Second Open Bidding Exercise,18/09/2013,2013,Cat A (Cars up to 1600cc and 97kW),370,83751,654,361
September 2013 First Open Bidding Exercise,4/9/2013,2013,Cat A (Cars up to 1600cc and 97kW),366,77304,609,365
August 2013 Second Open Bidding Exercise,21/08/2013,2013,Cat A (Cars up to 1600cc and 97kW),366,76223,596,360
August 2013 First Open Bidding Exercise,7/8/2013,2013,Cat A (Cars up to 1600cc and 97kW),373,75556,754,371
July 2013 Second Open Bidding Exercise,17/07/2013,2013,Cat A (Cars up to 1600cc and 97kW),334,73989,621,332
July 2013 First Open Bidding Exercise,3/7/2013,2013,Cat A (Cars up to 1600cc and 97kW),338,73100,716,328
June 2013 Second Open Bidding Exercise,19/06/2013,2013,Cat A (Cars up to 1600cc and 97kW),342,69903,788,341
June 2013 First Open Bidding Exercise,5/6/2013,2013,Cat A (Cars up to 1600cc and 97kW),341,67301,855,336
May 2013 Second Open Bidding Exercise,22/05/2013,2013,Cat A (Cars up to 1600cc and 97kW),333,64839,888,324
May 2013 First Open Bidding Exercise,8/5/2013,2013,Cat A (Cars up to 1600cc and 97kW),336,62999,912,329
April 2013 Second Open Bidding Exercise,24/04/2013,2013,Cat A (Cars up to 1600cc and 97kW),333,62497,993,333
April 2013 First Open Bidding Exercise,10/4/2013,2013,Cat A (Cars up to 1600cc and 97kW),341,61029,966,339
March 2013 Second Open Bidding Exercise,27/03/2013,2013,Cat A (Cars up to 1600cc and 97kW),337,64209,923,337
March 2013 First Open Bidding Exercise,13/03/2013,2013,Cat A (Cars up to 1600cc and 97kW),336,74689,1180,329
February 2013 Second Open Bidding Exercise,20/02/2013,2013,Cat A (Cars up to 1600cc and 97kW),333,78301,427,329
February 2013 First Open Bidding Exercise,6/2/2013,2013,Cat A (Cars up to 1600cc and 97kW),335,87109,418,333
January 2013 Second Open Bidding Exercise,23/01/2013,2013,Cat A (Cars up to 1600cc and 97kW),409,91010,489,409
January 2013 First Open Bidding Exercise,9/1/2013,2013,Cat A (Cars up to 1600cc and 97kW),410,92100,555,409
December 2012 Second Open Bidding Exercise,19/12/2012,2012,Cat A (Cars up to 1600cc and 97kW),395,81889,499,378
December 2012 First Open Bidding Exercise,5/12/2012,2012,Cat A (Cars up to 1600cc and 97kW),395,78523,482,378
November 2012 Second Open Bidding Exercise,21/11/2012,2012,Cat A (Cars up to 1600cc and 97kW),396,77291,540,393
November 2012 First Open Bidding Exercise,7/11/2012,2012,Cat A (Cars up to 1600cc and 97kW),395,77201,621,393
October 2012 Second Open Bidding Exercise,17/10/2012,2012,Cat A (Cars up to 1600cc and 97kW),393,71001,509,390
October 2012 First Open Bidding Exercise,3/10/2012,2012,Cat A (Cars up to 1600cc and 97kW),401,69000,506,399
September 2012 Second Open Bidding Exercise,19/09/2012,2012,Cat A (Cars up to 1600cc and 97kW),402,63000,486,402
September 2012 First Open Bidding Exercise,5/9/2012,2012,Cat A (Cars up to 1600cc and 97kW),399,68000,518,391
August 2012 Second Open Bidding Exercise,23/08/2012,2012,Cat A (Cars up to 1600cc and 97kW),400,66889,530,391
August 2012 First Open Bidding Exercise,8/8/2012,2012,Cat A (Cars up to 1600cc and 97kW),421,73501,724,415
July 2012 Second Open Bidding Exercise,18/07/2012,2012,Cat A (Cars up to 1600cc and 97kW),676,68656,911,669
July 2012 First Open Bidding Exercise,4/7/2012,2012,Cat A (Cars up to 1600cc and 97kW),641,59421,872,613
June 2012 Second Open Bidding Exercise,20/06/2012,2012,Cat A (Cars up to 1600cc and 97kW),633,59004,920,577
