,0
Cat A (Cars up to 1600cc and 97kW),20011.51
Cat B (Cars above 1600cc or 97kW),24022.49
Cat C (Goods vehicles and buses),18438.91
Cat D (Motorcycles),2673.49
Cat E (Open),24282.03
