,Year,Total
0,2005,3235
1,2006,3262
2,2007,3297
3,2008,3325
4,2009,3355
5,2010,3356
6,2011,3411
7,2012,3425
8,2013,3452
9,2014,3495
10,2015,3500
11,2016,3512
12,2017,3500
