max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold
5,1997,FALSE,FALSE,FALSE,TRUE,TP,0,0,0,0,0,0
40,2016,TRUE,FALSE,FALSE,FALSE,KWN,184,0,0,70,114,0
20,1994,TRUE,FALSE,FALSE,FALSE,BD,56,0,0,0,0,0
30,2014,TRUE,FALSE,FALSE,FALSE,BM,160,0,12,28,84,0
25,1997,TRUE,FALSE,FALSE,FALSE,TP,96,0,0,0,68,28
40,2016,TRUE,FALSE,FALSE,FALSE,KWN,220,0,0,71,149,0
2,1994,TRUE,FALSE,FALSE,FALSE,BD,2,0,0,0,0,0
1,1997,FALSE,FALSE,FALSE,FALSE,TP,0,0,0,0,0,0
23,1994,TRUE,FALSE,FALSE,FALSE,BD,84,0,0,0,0,0
21,1992,TRUE,FALSE,FALSE,FALSE,BD,81,0,0,0,0,0
24,1992,TRUE,FALSE,FALSE,FALSE,BD,67,0,0,0,0,0
12,1977,TRUE,FALSE,FALSE,FALSE,GL,198,0,0,0,0,0
14,1978,TRUE,FALSE,FALSE,FALSE,BD,206,0,0,178,26,1
10,1964,TRUE,FALSE,FALSE,FALSE,QT,75,0,9,61,5,0
16,1968,TRUE,FALSE,FALSE,FALSE,TP,192,0,0,192,0,0
25,1973,TRUE,FALSE,FALSE,FALSE,KWN,96,0,0,0,96,0
25,1981,TRUE,FALSE,FALSE,FALSE,KWN,96,0,0,0,0,96
12,1977,TRUE,TRUE,FALSE,FALSE,GL,152,0,0,126,22,1
12,1977,TRUE,FALSE,FALSE,FALSE,AMK,88,0,0,0,12,76
12,1985,TRUE,FALSE,FALSE,FALSE,BD,110,0,0,0,16,94
13,1977,TRUE,FALSE,FALSE,FALSE,BD,168,0,35,0,0,0
25,1986,TRUE,FALSE,FALSE,FALSE,BH,92,0,0,0,0,84
2,2019,FALSE,FALSE,FALSE,TRUE,TP,0,0,0,0,0,0
11,1982,TRUE,FALSE,FALSE,FALSE,BM,140,0,0,89,50,0
13,1984,TRUE,FALSE,FALSE,FALSE,BB,96,0,0,2,46,48
10,1964,TRUE,FALSE,FALSE,FALSE,QT,76,0,10,62,4,0
1,2019,FALSE,FALSE,FALSE,FALSE,SB,0,0,0,0,0,0
15,1984,TRUE,FALSE,FALSE,FALSE,CL,112,0,0,0,18,94
13,1986,TRUE,FALSE,FALSE,FALSE,BP,60,0,0,0,0,0
12,1967,TRUE,FALSE,FALSE,FALSE,BM,96,0,0,0,96,0
9,1983,TRUE,FALSE,FALSE,FALSE,HG,108,0,0,0,108,0
17,1980,TRUE,FALSE,FALSE,FALSE,KWN,128,0,0,0,128,0
16,1982,TRUE,FALSE,FALSE,FALSE,JE,238,0,0,196,40,2
4,1988,TRUE,FALSE,FALSE,FALSE,BD,10,0,0,0,0,0
13,1988,TRUE,FALSE,FALSE,FALSE,PRC,96,0,0,0,0,0
16,1984,TRUE,FALSE,FALSE,FALSE,TP,120,0,0,120,0,0
4,2001,FALSE,FALSE,FALSE,TRUE,PG,0,0,0,0,0,0
17,1998,TRUE,FALSE,FALSE,FALSE,SK,131,0,0,0,56,75
13,1984,TRUE,FALSE,FALSE,FALSE,SGN,144,0,0,0,144,0
11,1988,TRUE,FALSE,FALSE,FALSE,TAP,140,0,0,0,88,52
20,1973,TRUE,FALSE,FALSE,FALSE,BM,76,0,0,0,76,0
11,1981,TRUE,FALSE,FALSE,FALSE,TAP,120,0,0,80,40,0
13,1988,TRUE,FALSE,FALSE,FALSE,CCK,66,0,0,0,0,0
4,1982,TRUE,TRUE,FALSE,FALSE,KWN,44,0,0,44,0,0
25,1973,TRUE,TRUE,FALSE,FALSE,KWN,96,0,0,0,96,0
10,1984,TRUE,FALSE,FALSE,FALSE,WL,146,0,0,89,55,2
4,1977,TRUE,TRUE,FALSE,FALSE,YS,107,0,0,94,12,1
16,2020,TRUE,FALSE,FALSE,FALSE,TP,295,0,86,91,118,0
15,2019,TRUE,FALSE,FALSE,FALSE,SB,164,0,0,0,84,80
17,1992,TRUE,FALSE,FALSE,FALSE,TP,64,0,0,0,0,0
16,2001,TRUE,FALSE,FALSE,FALSE,PG,82,0,0,0,26,56
1,1984,FALSE,TRUE,FALSE,FALSE,YS,0,0,0,0,0,0
16,2019,TRUE,FALSE,FALSE,FALSE,SB,240,0,150,30,60,0
13,1992,TRUE,FALSE,FALSE,FALSE,TP,48,0,0,0,0,0
17,2001,TRUE,FALSE,FALSE,FALSE,PG,92,0,0,0,0,92
1,1984,FALSE,TRUE,FALSE,FALSE,YS,0,0,0,0,0,0
4,1992,FALSE,FALSE,FALSE,TRUE,TP,0,0,0,0,0,0
17,2001,TRUE,TRUE,FALSE,FALSE,PG,86,0,0,0,0,86
1,1984,FALSE,TRUE,FALSE,FALSE,YS,0,0,0,0,0,0
17,2001,TRUE,FALSE,FALSE,FALSE,PG,85,0,0,0,28,57
12,1977,TRUE,FALSE,FALSE,FALSE,GL,150,0,0,124,22,3
12,1977,TRUE,FALSE,FALSE,FALSE,AMK,88,0,0,0,66,22
4,1985,TRUE,FALSE,FALSE,FALSE,BD,24,0,0,16,8,0
14,1976,TRUE,FALSE,FALSE,FALSE,BD,149,0,0,116,26,2
25,1986,TRUE,FALSE,FALSE,FALSE,BH,92,0,0,0,0,84
10,1983,TRUE,FALSE,FALSE,FALSE,BM,147,0,0,93,54,0
13,1984,TRUE,FALSE,FALSE,FALSE,BB,96,0,0,2,46,48
10,1964,TRUE,FALSE,FALSE,FALSE,QT,95,0,10,80,5,0
6,2019,FALSE,FALSE,FALSE,TRUE,SB,0,0,0,0,0,0
4,1984,TRUE,FALSE,FALSE,FALSE,CL,8,0,0,0,0,0
1,2017,FALSE,FALSE,FALSE,FALSE,BM,0,0,0,0,0,0
10,1986,TRUE,FALSE,FALSE,FALSE,BP,90,0,0,54,36,0
14,1967,TRUE,FALSE,FALSE,FALSE,BM,140,0,0,0,140,0
13,1983,TRUE,TRUE,FALSE,FALSE,HG,90,0,0,19,71,0
12,1980,TRUE,TRUE,FALSE,FALSE,KWN,198,0,0,0,198,0
25,1981,TRUE,FALSE,FALSE,FALSE,KWN,96,0,0,0,0,96
12,1981,TRUE,FALSE,FALSE,FALSE,JE,196,0,0,172,22,2
14,1988,TRUE,FALSE,FALSE,FALSE,BD,73,0,0,0,22,51
13,1988,TRUE,FALSE,FALSE,FALSE,PRC,96,0,0,0,54,42
16,1983,TRUE,TRUE,FALSE,FALSE,TP,167,0,0,144,20,0
1,2001,FALSE,FALSE,FALSE,FALSE,PG,0,0,0,0,0,0
17,1998,TRUE,FALSE,FALSE,FALSE,SK,129,0,0,0,0,0
4,1984,TRUE,FALSE,FALSE,FALSE,SGN,24,0,0,16,8,0
11,1988,TRUE,FALSE,FALSE,FALSE,TAP,100,0,0,0,64,36
20,1973,TRUE,TRUE,FALSE,FALSE,BM,76,0,0,0,76,0
11,1982,TRUE,FALSE,FALSE,FALSE,TAP,140,0,0,90,50,0
9,1988,TRUE,FALSE,FALSE,FALSE,CCK,64,0,0,0,36,28
4,1983,TRUE,TRUE,FALSE,FALSE,KWN,36,0,0,36,0,0
12,1984,TRUE,FALSE,FALSE,FALSE,WL,110,0,0,65,45,0
4,1984,FALSE,TRUE,FALSE,FALSE,YS,0,0,0,0,0,0
16,2020,TRUE,FALSE,FALSE,FALSE,TP,205,0,66,0,139,0
17,2019,TRUE,FALSE,FALSE,FALSE,SB,190,0,0,0,94,96
21,2016,TRUE,FALSE,FALSE,FALSE,BM,114,0,39,0,0,0
17,2001,TRUE,FALSE,FALSE,FALSE,PG,85,0,0,0,28,57
5,1997,FALSE,FALSE,FALSE,TRUE,SK,0,0,0,0,0,0
16,2020,TRUE,FALSE,FALSE,FALSE,TP,200,0,0,52,148,0
16,2019,TRUE,FALSE,FALSE,FALSE,SB,210,0,180,30,0,0
17,2001,TRUE,FALSE,FALSE,FALSE,PG,86,0,0,0,0,86
1,2020,FALSE,FALSE,FALSE,FALSE,SB,0,0,0,0,0,0
17,2000,TRUE,FALSE,FALSE,FALSE,PG,92,0,0,0,0,92
16,2001,TRUE,FALSE,FALSE,FALSE,PG,82,0,0,0,26,56
25,1981,TRUE,FALSE,FALSE,FALSE,KWN,96,0,0,0,0,96
12,1977,TRUE,FALSE,FALSE,FALSE,GL,154,0,0,0,0,0
12,1977,TRUE,FALSE,FALSE,FALSE,AMK,131,0,0,97,33,1
14,1976,TRUE,FALSE,FALSE,FALSE,BD,154,0,0,126,26,0
12,1985,TRUE,TRUE,FALSE,FALSE,BD,154,0,0,88,66,0
25,1986,TRUE,FALSE,FALSE,FALSE,BH,92,0,0,0,0,84
11,1982,TRUE,TRUE,FALSE,FALSE,BM,119,0,0,68,50,1
13,1984,TRUE,FALSE,FALSE,FALSE,BB,96,0,0,4,44,48
10,1964,TRUE,FALSE,FALSE,FALSE,QT,99,0,0,0,0,0
1,2020,FALSE,FALSE,FALSE,FALSE,SB,0,0,0,0,0,0
14,1984,TRUE,FALSE,FALSE,FALSE,CL,104,0,0,0,18,86
1,2001,FALSE,FALSE,FALSE,FALSE,PG,0,0,0,0,0,0
4,1986,TRUE,TRUE,FALSE,FALSE,BP,26,0,0,19,7,0
14,1967,TRUE,FALSE,FALSE,FALSE,BM,140,0,0,0,140,0
13,1983,TRUE,FALSE,FALSE,FALSE,HG,81,0,0,0,30,51
25,1983,TRUE,FALSE,FALSE,FALSE,KWN,144,0,0,0,48,96
25,1982,TRUE,FALSE,FALSE,FALSE,JE,96,0,0,0,0,96
14,1988,TRUE,FALSE,FALSE,FALSE,BD,73,0,0,0,22,51
10,1967,TRUE,FALSE,FALSE,FALSE,TP,159,0,0,0,0,0
13,1988,TRUE,FALSE,FALSE,FALSE,PRC,96,0,0,0,54,42
4,1983,TRUE,FALSE,FALSE,FALSE,TP,63,0,0,62,0,0
17,1998,TRUE,TRUE,FALSE,FALSE,SK,123,0,0,0,0,0
13,1984,TRUE,FALSE,FALSE,FALSE,SGN,144,0,0,0,144,0
25,1976,TRUE,FALSE,FALSE,FALSE,BM,94,0,0,0,0,92
10,1982,TRUE,FALSE,FALSE,FALSE,TAP,126,0,0,72,54,0
9,1988,TRUE,TRUE,FALSE,FALSE,CCK,80,0,0,0,52,28
11,1982,TRUE,FALSE,FALSE,FALSE,KWN,80,0,0,0,40,40
4,1984,TRUE,FALSE,FALSE,FALSE,WL,32,0,0,24,8,0
4,1984,TRUE,TRUE,FALSE,FALSE,YS,64,0,0,60,4,0
17,2020,TRUE,FALSE,FALSE,FALSE,TP,116,0,0,56,60,0
15,2019,TRUE,FALSE,FALSE,FALSE,SB,224,0,140,28,56,0
25,1999,TRUE,FALSE,FALSE,FALSE,BM,96,0,0,0,96,0
17,2000,TRUE,FALSE,FALSE,FALSE,PG,96,0,0,0,0,96
5,1998,FALSE,FALSE,FALSE,TRUE,SK,0,0,0,0,0,0
16,2020,TRUE,FALSE,FALSE,FALSE,TP,152,0,0,76,76,0
